,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
17,Something for Thee Hotties,18,2Is9zrqsT5J8lmU7T43p4I,Pipe Up,spotify:track:2Is9zrqsT5J8lmU7T43p4I,0.0028,0.78,0.701,0.0,0.0819,-4.064,0.0832,184.056,0.107,54
18,Something for Thee Hotties,19,09u7TwZOzYkASRWkzlYUCi,Bless The Booth Freestyle,spotify:track:09u7TwZOzYkASRWkzlYUCi,0.0169,0.681,0.635,0.0,0.0589,-8.377,0.552,144.07,0.733,54
19,Something for Thee Hotties,20,7FdmHr87G79PDRGy9SPBkZ,Thot Shit,spotify:track:7FdmHr87G79PDRGy9SPBkZ,0.0199,0.949,0.683,0.0,0.171,-4.242,0.0946,130.012,0.887,74
20,Something for Thee Hotties,21,5pDF3eASVkgWBb8yIDojGW,To Thee Hotties,spotify:track:5pDF3eASVkgWBb8yIDojGW,0.886,0.78,0.312,0.0,0.327,-12.411,0.647,80.959,0.939,47
42,Good News,1,3yhhv0VCmKkAWD9ysDLpTE,Shots Fired,spotify:track:3yhhv0VCmKkAWD9ysDLpTE,0.000761,0.826,0.655,0.0,0.0841,-4.775,0.3,184.057,0.45,56
43,Good News,2,08TILUAN56HJoS1d9mNRty,Circles,spotify:track:08TILUAN56HJoS1d9mNRty,0.0265,0.842,0.789,0.0,0.355,-8.733,0.178,111.113,0.795,64
44,Good News,3,4aarlAfLKVCTxUDNgbwhjH,Cry Baby (feat. DaBaby),spotify:track:4aarlAfLKVCTxUDNgbwhjH,0.00402,0.957,0.437,0.0,0.219,-7.882,0.359,130.058,0.616,76
45,Good News,4,2993VQSr7a2Dj5hI5xcWG0,Do It On The Tip (feat. City Girls & Hot Girl Meg),spotify:track:2993VQSr7a2Dj5hI5xcWG0,0.00291,0.943,0.528,0.0,0.0858,-8.631,0.299,97.542,0.608,65
46,Good News,5,2LcqFRq2xBQdSfXBh5IIUk,Sugar Baby,spotify:track:2LcqFRq2xBQdSfXBh5IIUk,0.0229,0.905,0.747,0.0,0.126,-4.693,0.246,85.004,0.678,57
47,Good News,6,7Ge141qhUeuglcOvgAkWBy,Movie (feat. Lil Durk),spotify:track:7Ge141qhUeuglcOvgAkWBy,0.00218,0.892,0.733,0.0,0.166,-6.677,0.29,152.06,0.893,59
48,Good News,7,4RAEVQeHanpXyK2lrEUkMk,Freaky Girls (feat. SZA),spotify:track:4RAEVQeHanpXyK2lrEUkMk,0.000794,0.821,0.681,1.91e-05,0.11,-6.834,0.177,93.991,0.249,61
49,Good News,8,0A1hoCfMLkiAgvhWkkucJa,Body,spotify:track:0A1hoCfMLkiAgvhWkkucJa,0.0166,0.914,0.732,0.0,0.107,-6.1,0.241,94.066,0.469,78
50,Good News,9,3jRHehB5ulTMKfK5WaqDqc,What’s New,spotify:track:3jRHehB5ulTMKfK5WaqDqc,0.00488,0.934,0.873,0.0,0.0832,-4.707,0.309,139.997,0.721,73
51,Good News,10,1HeAm7PJPUhunseNElZvBj,Work That,spotify:track:1HeAm7PJPUhunseNElZvBj,0.00376,0.756,0.711,0.0,0.284,-4.051,0.242,184.93,0.447,54
52,Good News,11,05b94NgTfntKGZra5TMEcx,Intercourse (feat. Popcaan & Mustard),spotify:track:05b94NgTfntKGZra5TMEcx,0.058,0.562,0.605,0.0,0.156,-6.082,0.353,98.017,0.433,52
53,Good News,12,2ZuyWP4MXXPXQaz2KJPCCn,Go Crazy (feat. Big Sean & 2 Chainz),spotify:track:2ZuyWP4MXXPXQaz2KJPCCn,0.14,0.919,0.806,0.0,0.0715,-4.591,0.291,95.965,0.64,55
54,Good News,13,5E2XqswBygKQ8ZXqkJZUj8,Don’t Rock Me To Sleep,spotify:track:5E2XqswBygKQ8ZXqkJZUj8,0.00932,0.876,0.75,0.0,0.118,-5.912,0.0432,105.971,0.653,49
55,Good News,14,1ZynYY8BPvWnx7t1EGwrPs,Outside,spotify:track:1ZynYY8BPvWnx7t1EGwrPs,0.0242,0.864,0.841,0.0,0.0748,-2.775,0.278,168.002,0.713,52
56,Good News,15,2Z71PZlOeF9YVze4hy1A1a,Savage Remix (feat. Beyoncé),spotify:track:2Z71PZlOeF9YVze4hy1A1a,0.0159,0.753,0.745,0.0,0.127,-4.776,0.334,169.02,0.635,65
57,Good News,16,7yiSvALPjMrBLDDrbcDRNy,Girls in the Hood,spotify:track:7yiSvALPjMrBLDDrbcDRNy,0.00711,0.821,0.816,0.0,0.0645,-3.835,0.352,179.974,0.797,69
58,Good News,17,0W7R5wlb4rjvowSPOY7c8m,Don’t Stop (feat. Young Thug),spotify:track:0W7R5wlb4rjvowSPOY7c8m,0.000773,0.935,0.665,0.0,0.138,-4.65,0.0779,138.027,0.468,59
76,Suga (Chopnotslop Remix),1,6stumfoIQv2Jb0A9pZjCGP,Suga Intro (Chopnotslop Remix),spotify:track:6stumfoIQv2Jb0A9pZjCGP,0.245,0.768,0.855,0.0,0.374,-5.814,0.4,135.198,0.431,25
